月份,年分-110年：航空人次,年分-110年：輪船人次,年分-110年：觀光客人次,年分-111年：航空人次,年分-111年：輪船人次,年分-111年：觀光客人次,年分-111年：觀光客增減人數
1,34885,354,35239,31341,389,31730,-3509
2,44442,1373,45815,35048,1128,36176,-9639
3,56668,7035,63703,55011,2547,57558,-6145
4,110470,37808,148278,93345,18446,111791,-36487
5,85422,28439,113861,96628,21613,118241,4380
6,3629,47,3676,117078,35414,152492,148816
7,7135,137,7272,123855,48810,172665,165393
8,26484,4788,31272,,,-,
9,40636,12005,52641,,,-,
10,42128,3691,45819,,,-,
11,36491,741,37232,,,-,
12,33132,73,33205,,,-,
合計,521522,96491,618013,552306,128347,680653,262809